lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.15481  0.15278  0.06306  0.05
0.000100000000  0.000074989421  0.14876  0.14799  0.08496  0.08
0.000100000000  0.000056234133  0.14178  0.14232  0.11181  0.12
0.000100000000  0.000042169650  0.13457  0.13637  0.14057  0.17
0.000100000000  0.000031622777  0.12785  0.13062  0.16907  0.23
0.000100000000  0.000023713737  0.12153  0.12508  0.19730  0.33
0.000100000000  0.000017782794  0.11580  0.11991  0.22392  0.43
0.000100000000  0.000013335214  0.11092  0.11554  0.24704  0.57
0.000100000000  0.000010000000  0.10673  0.11191  0.26680  0.74
0.000100000000  0.000007498942  0.10311  0.10886  0.28359  0.92
0.000100000000  0.000005623413  0.09999  0.10637  0.29731  1.14
0.000100000000  0.000004216965  0.09719  0.10433  0.30864  1.40
0.000100000000  0.000003162278  0.09453  0.10258  0.31846  1.75
0.000100000000  0.000002371374  0.09195  0.10110  0.32671  2.19
0.000100000000  0.000001778279  0.08937  0.09996  0.33304  2.75
0.000100000000  0.000001333521  0.08677  0.09916  0.33728  3.46
0.000100000000  0.000001000000  0.08410  0.09880  0.33891  4.35
0.000100000000  0.000000749894  0.08145  0.09892  0.33751  5.42
0.000100000000  0.000000562341  0.07897  0.09950  0.33306  6.56
0.000100000000  0.000000421697  0.07684  0.10045  0.32625  7.69
0.000100000000  0.000000316228  0.07514  0.10160  0.31805  8.68
0.000100000000  0.000000237137  0.07384  0.10281  0.30957  9.52
0.000100000000  0.000000177828  0.07290  0.10395  0.30154  10.22
0.000100000000  0.000000133352  0.07222  0.10497  0.29437  10.75
0.000100000000  0.000000100000  0.07174  0.10583  0.28828  11.18
0.000069519280  0.000100000000  0.15343  0.15142  0.07192  0.05
0.000069519280  0.000074989421  0.14865  0.14776  0.08756  0.08
0.000069519280  0.000056234133  0.14176  0.14224  0.11290  0.12
0.000069519280  0.000042169650  0.13456  0.13634  0.14104  0.17
0.000069519280  0.000031622777  0.12784  0.13062  0.16925  0.23
0.000069519280  0.000023713737  0.12153  0.12508  0.19736  0.33
0.000069519280  0.000017782794  0.11579  0.11991  0.22396  0.43
0.000069519280  0.000013335214  0.11091  0.11554  0.24705  0.57
0.000069519280  0.000010000000  0.10673  0.11191  0.26678  0.74
0.000069519280  0.000007498942  0.10311  0.10886  0.28356  0.92
0.000069519280  0.000005623413  0.09999  0.10638  0.29730  1.14
0.000069519280  0.000004216965  0.09719  0.10434  0.30863  1.40
0.000069519280  0.000003162278  0.09453  0.10258  0.31845  1.75
0.000069519280  0.000002371374  0.09195  0.10110  0.32670  2.19
0.000069519280  0.000001778279  0.08937  0.09996  0.33303  2.75
0.000069519280  0.000001333521  0.08677  0.09916  0.33727  3.46
0.000069519280  0.000001000000  0.08410  0.09880  0.33891  4.35
0.000069519280  0.000000749894  0.08145  0.09892  0.33750  5.42
0.000069519280  0.000000562341  0.07898  0.09950  0.33306  6.56
0.000069519280  0.000000421697  0.07684  0.10045  0.32624  7.69
0.000069519280  0.000000316228  0.07514  0.10160  0.31805  8.68
0.000069519280  0.000000237137  0.07384  0.10281  0.30956  9.52
0.000069519280  0.000000177828  0.07290  0.10395  0.30153  10.22
0.000069519280  0.000000133352  0.07222  0.10497  0.29437  10.75
