lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.10109  0.11086  0.26502  1.74
0.000100000000  0.000074989421  0.09758  0.10796  0.28232  2.01
0.000100000000  0.000056234133  0.09415  0.10503  0.30042  2.31
0.000100000000  0.000042169650  0.09111  0.10256  0.31586  2.67
0.000100000000  0.000031622777  0.08839  0.10072  0.32740  3.14
0.000100000000  0.000023713737  0.08585  0.09952  0.33479  3.77
0.000100000000  0.000017782794  0.08331  0.09895  0.33802  4.59
0.000100000000  0.000013335214  0.08076  0.09902  0.33701  5.58
0.000100000000  0.000010000000  0.07840  0.09965  0.33235  6.68
0.000100000000  0.000007498942  0.07638  0.10066  0.32514  7.78
0.000100000000  0.000005623413  0.07479  0.10184  0.31677  8.76
0.000100000000  0.000004216965  0.07359  0.10304  0.30826  9.59
0.000100000000  0.000003162278  0.07272  0.10417  0.30034  10.26
0.000100000000  0.000002371374  0.07211  0.10515  0.29338  10.79
0.000100000000  0.000001778279  0.07166  0.10598  0.28751  11.20
0.000100000000  0.000001333521  0.07135  0.10666  0.28272  11.51
0.000100000000  0.000001000000  0.07113  0.10720  0.27886  11.75
0.000100000000  0.000000749894  0.07097  0.10763  0.27583  11.93
0.000100000000  0.000000562341  0.07086  0.10796  0.27350  12.07
0.000100000000  0.000000421697  0.07077  0.10822  0.27166  12.17
0.000100000000  0.000000316228  0.07071  0.10841  0.27027  12.25
0.000100000000  0.000000237137  0.07067  0.10856  0.26923  12.30
0.000100000000  0.000000177828  0.07064  0.10867  0.26842  12.35
0.000100000000  0.000000133352  0.07061  0.10876  0.26779  12.38
0.000100000000  0.000000100000  0.07059  0.10884  0.26725  12.40
0.000069519280  0.000100000000  0.09905  0.10936  0.27624  1.47
0.000069519280  0.000074989421  0.09696  0.10770  0.28519  2.19
0.000069519280  0.000056234133  0.09403  0.10522  0.29982  2.44
0.000069519280  0.000042169650  0.09107  0.10274  0.31502  2.72
0.000069519280  0.000031622777  0.08837  0.10083  0.32684  3.14
0.000069519280  0.000023713737  0.08584  0.09959  0.33445  3.76
0.000069519280  0.000017782794  0.08331  0.09899  0.33781  4.58
0.000069519280  0.000013335214  0.08077  0.09905  0.33687  5.57
0.000069519280  0.000010000000  0.07840  0.09967  0.33224  6.67
0.000069519280  0.000007498942  0.07638  0.10067  0.32506  7.78
0.000069519280  0.000005623413  0.07479  0.10185  0.31668  8.75
0.000069519280  0.000004216965  0.07359  0.10305  0.30820  9.59
0.000069519280  0.000003162278  0.07272  0.10417  0.30028  10.25
0.000069519280  0.000002371374  0.07210  0.10516  0.29333  10.78
0.000069519280  0.000001778279  0.07166  0.10599  0.28745  11.20
0.000069519280  0.000001333521  0.07135  0.10666  0.28267  11.51
0.000069519280  0.000001000000  0.07113  0.10721  0.27881  11.75
0.000069519280  0.000000749894  0.07097  0.10763  0.27581  11.93
0.000069519280  0.000000562341  0.07086  0.10796  0.27345  12.07
0.000069519280  0.000000421697  0.07077  0.10822  0.27162  12.17
0.000069519280  0.000000316228  0.07071  0.10842  0.27024  12.24
0.000069519280  0.000000237137  0.07067  0.10857  0.26918  12.30
0.000069519280  0.000000177828  0.07063  0.10868  0.26837  12.35
0.000069519280  0.000000133352  0.07061  0.10876  0.26777  12.38
0.000069519280  0.000000100000  0.07059  0.10884  0.26723  12.40
0.000048329302  0.000100000000  0.09904  0.10936  0.27628  1.47
0.000048329302  0.000074989421  0.09695  0.10770  0.28521  2.19
0.000048329302  0.000056234133  0.09403  0.10522  0.29983  2.43
0.000048329302  0.000042169650  0.09108  0.10275  0.31499  2.72
0.000048329302  0.000031622777  0.08837  0.10084  0.32683  3.14
0.000048329302  0.000023713737  0.08584  0.09959  0.33444  3.76
0.000048329302  0.000017782794  0.08331  0.09899  0.33780  4.57
0.000048329302  0.000013335214  0.08077  0.09905  0.33686  5.57
0.000048329302  0.000010000000  0.07840  0.09967  0.33223  6.67
0.000048329302  0.000007498942  0.07638  0.10067  0.32505  7.77
0.000048329302  0.000005623413  0.07479  0.10185  0.31667  8.75
0.000048329302  0.000004216965  0.07359  0.10305  0.30819  9.59
0.000048329302  0.000003162278  0.07272  0.10417  0.30028  10.25
0.000048329302  0.000002371374  0.07210  0.10516  0.29332  10.78
0.000048329302  0.000001778279  0.07166  0.10599  0.28745  11.20
0.000048329302  0.000001333521  0.07135  0.10666  0.28266  11.51
0.000048329302  0.000001000000  0.07113  0.10721  0.27881  11.75
0.000048329302  0.000000749894  0.07097  0.10763  0.27580  11.93
0.000048329302  0.000000562341  0.07086  0.10796  0.27344  12.07
0.000048329302  0.000000421697  0.07077  0.10822  0.27161  12.17
0.000048329302  0.000000316228  0.07071  0.10842  0.27024  12.24
0.000048329302  0.000000237137  0.07067  0.10857  0.26918  12.30
0.000048329302  0.000000177828  0.07063  0.10868  0.26837  12.35
0.000048329302  0.000000133352  0.07061  0.10876  0.26777  12.38
0.000048329302  0.000000100000  0.07059  0.10884  0.26722  12.40
0.000033598183  0.000100000000  0.09904  0.10936  0.27628  1.47
0.000033598183  0.000074989421  0.09695  0.10770  0.28521  2.19
0.000033598183  0.000056234133  0.09403  0.10522  0.29982  2.43
0.000033598183  0.000042169650  0.09108  0.10275  0.31499  2.72
0.000033598183  0.000031622777  0.08837  0.10084  0.32683  3.14
0.000033598183  0.000023713737  0.08584  0.09959  0.33444  3.76
0.000033598183  0.000017782794  0.08331  0.09899  0.33780  4.57
0.000033598183  0.000013335214  0.08077  0.09905  0.33686  5.57
0.000033598183  0.000010000000  0.07840  0.09967  0.33223  6.67
0.000033598183  0.000007498942  0.07638  0.10067  0.32505  7.77
0.000033598183  0.000005623413  0.07479  0.10185  0.31667  8.75
0.000033598183  0.000004216965  0.07359  0.10305  0.30819  9.59
0.000033598183  0.000003162278  0.07272  0.10417  0.30028  10.25
0.000033598183  0.000002371374  0.07210  0.10516  0.29332  10.78
0.000033598183  0.000001778279  0.07166  0.10599  0.28745  11.20
0.000033598183  0.000001333521  0.07135  0.10666  0.28266  11.51
0.000033598183  0.000001000000  0.07113  0.10721  0.27881  11.75
0.000033598183  0.000000749894  0.07097  0.10763  0.27580  11.93
0.000033598183  0.000000562341  0.07086  0.10796  0.27344  12.07
0.000033598183  0.000000421697  0.07077  0.10822  0.27161  12.17
0.000033598183  0.000000316228  0.07071  0.10842  0.27024  12.24
0.000033598183  0.000000237137  0.07067  0.10857  0.26918  12.30
0.000033598183  0.000000177828  0.07063  0.10868  0.26837  12.35
0.000033598183  0.000000133352  0.07061  0.10876  0.26777  12.38
0.000033598183  0.000000100000  0.07059  0.10884  0.26722  12.40
0.000023357215  0.000100000000  0.09904  0.10936  0.27628  1.47
0.000023357215  0.000074989421  0.09695  0.10770  0.28521  2.19
0.000023357215  0.000056234133  0.09403  0.10522  0.29982  2.43
0.000023357215  0.000042169650  0.09108  0.10275  0.31499  2.72
0.000023357215  0.000031622777  0.08837  0.10084  0.32683  3.14
0.000023357215  0.000023713737  0.08584  0.09959  0.33444  3.76
0.000023357215  0.000017782794  0.08331  0.09899  0.33780  4.57
0.000023357215  0.000013335214  0.08077  0.09905  0.33686  5.57
0.000023357215  0.000010000000  0.07840  0.09967  0.33223  6.67
0.000023357215  0.000007498942  0.07638  0.10067  0.32505  7.77
0.000023357215  0.000005623413  0.07479  0.10185  0.31667  8.75
0.000023357215  0.000004216965  0.07359  0.10305  0.30819  9.59
0.000023357215  0.000003162278  0.07272  0.10417  0.30028  10.25
0.000023357215  0.000002371374  0.07210  0.10516  0.29332  10.78
0.000023357215  0.000001778279  0.07166  0.10599  0.28745  11.20
0.000023357215  0.000001333521  0.07135  0.10666  0.28266  11.51
0.000023357215  0.000001000000  0.07113  0.10721  0.27881  11.75
0.000023357215  0.000000749894  0.07097  0.10763  0.27580  11.93
0.000023357215  0.000000562341  0.07086  0.10796  0.27344  12.07
0.000023357215  0.000000421697  0.07077  0.10822  0.27161  12.17
0.000023357215  0.000000316228  0.07071  0.10842  0.27024  12.24
0.000023357215  0.000000237137  0.07067  0.10857  0.26918  12.30
0.000023357215  0.000000177828  0.07063  0.10868  0.26837  12.35
0.000023357215  0.000000133352  0.07061  0.10876  0.26777  12.38
0.000023357215  0.000000100000  0.07059  0.10884  0.26722  12.40
0.000016237767  0.000100000000  0.09900  0.10932  0.27643  1.47
0.000016237767  0.000074989421  0.09691  0.10766  0.28537  2.19
0.000016237767  0.000056234133  0.09399  0.10519  0.29997  2.43
0.000016237767  0.000042169650  0.09104  0.10272  0.31516  2.72
0.000016237767  0.000031622777  0.08834  0.10081  0.32696  3.14
0.000016237767  0.000023713737  0.08582  0.09957  0.33453  3.75
0.000016237767  0.000017782794  0.08330  0.09898  0.33785  4.57
0.000016237767  0.000013335214  0.08076  0.09905  0.33686  5.57
0.000016237767  0.000010000000  0.07840  0.09967  0.33222  6.67
0.000016237767  0.000007498942  0.07638  0.10067  0.32504  7.77
0.000016237767  0.000005623413  0.07479  0.10185  0.31667  8.75
0.000016237767  0.000004216965  0.07359  0.10305  0.30819  9.59
0.000016237767  0.000003162278  0.07272  0.10417  0.30027  10.25
0.000016237767  0.000002371374  0.07210  0.10516  0.29332  10.78
0.000016237767  0.000001778279  0.07166  0.10599  0.28745  11.20
0.000016237767  0.000001333521  0.07135  0.10667  0.28266  11.51
0.000016237767  0.000001000000  0.07113  0.10721  0.27881  11.75
0.000016237767  0.000000749894  0.07097  0.10763  0.27580  11.93
0.000016237767  0.000000562341  0.07086  0.10797  0.27344  12.07
0.000016237767  0.000000421697  0.07077  0.10822  0.27161  12.17
0.000016237767  0.000000316228  0.07071  0.10842  0.27024  12.24
0.000016237767  0.000000237137  0.07067  0.10857  0.26918  12.30
0.000016237767  0.000000177828  0.07063  0.10868  0.26837  12.35
0.000016237767  0.000000133352  0.07061  0.10876  0.26777  12.38
0.000016237767  0.000000100000  0.07059  0.10884  0.26722  12.40
0.000011288379  0.000100000000  0.09897  0.10929  0.27655  1.46
0.000011288379  0.000074989421  0.09688  0.10763  0.28550  2.19
0.000011288379  0.000056234133  0.09396  0.10516  0.30012  2.43
0.000011288379  0.000042169650  0.09101  0.10269  0.31531  2.72
0.000011288379  0.000031622777  0.08831  0.10078  0.32716  3.14
0.000011288379  0.000023713737  0.08578  0.09953  0.33476  3.76
0.000011288379  0.000017782794  0.08326  0.09894  0.33811  4.58
0.000011288379  0.000013335214  0.08072  0.09900  0.33713  5.57
0.000011288379  0.000010000000  0.07835  0.09963  0.33246  6.67
0.000011288379  0.000007498942  0.07634  0.10063  0.32525  7.77
0.000011288379  0.000005623413  0.07475  0.10182  0.31685  8.76
0.000011288379  0.000004216965  0.07356  0.10302  0.30835  9.59
0.000011288379  0.000003162278  0.07270  0.10414  0.30042  10.25
0.000011288379  0.000002371374  0.07208  0.10513  0.29346  10.78
0.000011288379  0.000001778279  0.07164  0.10596  0.28758  11.19
0.000011288379  0.000001333521  0.07133  0.10664  0.28279  11.51
0.000011288379  0.000001000000  0.07111  0.10718  0.27893  11.75
0.000011288379  0.000000749894  0.07095  0.10761  0.27593  11.93
0.000011288379  0.000000562341  0.07083  0.10794  0.27356  12.07
0.000011288379  0.000000421697  0.07075  0.10820  0.27173  12.17
0.000011288379  0.000000316228  0.07069  0.10839  0.27036  12.24
0.000011288379  0.000000237137  0.07065  0.10854  0.26929  12.30
0.000011288379  0.000000177828  0.07061  0.10865  0.26849  12.35
0.000011288379  0.000000133352  0.07059  0.10874  0.26789  12.38
0.000011288379  0.000000100000  0.07057  0.10881  0.26734  12.40
0.000007847600  0.000100000000  0.09895  0.10926  0.27666  1.46
0.000007847600  0.000074989421  0.09686  0.10760  0.28561  2.19
0.000007847600  0.000056234133  0.09394  0.10513  0.30024  2.43
0.000007847600  0.000042169650  0.09098  0.10265  0.31547  2.71
0.000007847600  0.000031622777  0.08828  0.10075  0.32730  3.14
0.000007847600  0.000023713737  0.08576  0.09950  0.33491  3.76
0.000007847600  0.000017782794  0.08323  0.09890  0.33827  4.58
0.000007847600  0.000013335214  0.08069  0.09897  0.33733  5.57
0.000007847600  0.000010000000  0.07833  0.09959  0.33269  6.67
0.000007847600  0.000007498942  0.07631  0.10059  0.32548  7.77
0.000007847600  0.000005623413  0.07472  0.10177  0.31710  8.76
0.000007847600  0.000004216965  0.07353  0.10297  0.30861  9.59
0.000007847600  0.000003162278  0.07266  0.10409  0.30070  10.25
0.000007847600  0.000002371374  0.07204  0.10508  0.29375  10.78
0.000007847600  0.000001778279  0.07160  0.10591  0.28787  11.20
0.000007847600  0.000001333521  0.07129  0.10658  0.28308  11.51
0.000007847600  0.000001000000  0.07107  0.10713  0.27923  11.75
0.000007847600  0.000000749894  0.07091  0.10755  0.27623  11.93
0.000007847600  0.000000562341  0.07080  0.10788  0.27386  12.07
0.000007847600  0.000000421697  0.07071  0.10814  0.27203  12.17
0.000007847600  0.000000316228  0.07065  0.10834  0.27066  12.24
0.000007847600  0.000000237137  0.07061  0.10848  0.26960  12.30
0.000007847600  0.000000177828  0.07057  0.10860  0.26879  12.35
0.000007847600  0.000000133352  0.07055  0.10868  0.26819  12.38
0.000007847600  0.000000100000  0.07053  0.10876  0.26765  12.40
0.000005455595  0.000100000000  0.09881  0.10914  0.27711  1.46
0.000005455595  0.000074989421  0.09671  0.10748  0.28607  2.19
0.000005455595  0.000056234133  0.09379  0.10500  0.30073  2.43
0.000005455595  0.000042169650  0.09083  0.10252  0.31597  2.72
0.000005455595  0.000031622777  0.08813  0.10061  0.32786  3.14
0.000005455595  0.000023713737  0.08561  0.09935  0.33551  3.76
0.000005455595  0.000017782794  0.08308  0.09875  0.33890  4.57
0.000005455595  0.000013335214  0.08054  0.09881  0.33794  5.57
0.000005455595  0.000010000000  0.07818  0.09944  0.33329  6.66
0.000005455595  0.000007498942  0.07617  0.10045  0.32607  7.77
0.000005455595  0.000005623413  0.07458  0.10163  0.31768  8.76
0.000005455595  0.000004216965  0.07339  0.10284  0.30918  9.59
0.000005455595  0.000003162278  0.07252  0.10396  0.30125  10.25
