Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
    0    0.174357773    0   0
   10    0.139201393    0   0
   20    0.133678119    0   0
   30    0.131774572    0   0
   40    0.130804414    0   0
   50    0.130178093    0   0
   60    0.129712496    0   0
   70    0.129337026    0   0
   80    0.129018763    0   0
   90    0.128739965    0   0
  100    0.128492187    0   0
  110    0.128268744    0   0
  120    0.128066516    0   0
  130    0.127882978    0   0
  140    0.127714664    0   0
  150    0.127559644    0   0
  160    0.127415936    0   0
  170    0.127282383    0   0
  180    0.127157725    0   0
  190    0.127041228    0   0
  200    0.126932255    0   0
  210    0.126829944    0   0
  220    0.126733664    0   0
  230    0.126643088    0   0
  240    0.126557788    0   0
  250    0.126477237    0   0
  260    0.126400926    0   0
  270    0.126328418    0   0
  280    0.126259531    0   0
  290    0.126194086    0   0
  300    0.126131925    0   0
  310    0.126072788    0   0
  320    0.126016636    0   0
  330    0.125963083    0   0
  340    0.125911986    0   0
  350    0.125863061    0   0
  360    0.125816061    0   0
  370    0.125770987    0   0
  380    0.125727915    0   0
  390    0.125686573    0   0
  400    0.125646865    0   0
  410    0.125608748    0   0
  420    0.125572122    0   0
  430    0.125536850    0   0
  440    0.125502935    0   0
  450    0.125470274    0   0
  460    0.125438841    0   0
  470    0.125408471    0   0
  480    0.125379151    0   0
  490    0.125350822    0   0
  500    0.125323462    0   0
  510    0.125297014    0   0
  520    0.125271428    0   0
  530    0.125246700    0   0
  540    0.125222760    0   0
  550    0.125199564    0   0
  560    0.125177080    0   0
  570    0.125155275    0   0
  580    0.125134133    0   0
  590    0.125113649    0   0
  600    0.125093781    0   0
  610    0.125074512    0   0
  620    0.125055788    0   0
  630    0.125037616    0   0
  640    0.125019935    0   0
  650    0.125002760    0   0
  660    0.124986068    0   0
  670    0.124969838    0   0
  680    0.124954045    0   0
  690    0.124938688    0   0
  700    0.124923731    0   0
  710    0.124909185    0   0
  720    0.124895040    0   0
  730    0.124881298    0   0
  740    0.124867914    0   0
  750    0.124854889    0   0
  760    0.124842217    0   0
  770    0.124829887    0   0
  780    0.124817889    0   0
  790    0.124806188    0   0
  800    0.124794795    0   0
  810    0.124783705    0   0
  820    0.124772912    0   0
  830    0.124762408    0   0
  840    0.124752171    0   0
  850    0.124742197    6   0
Solution converged in 854 iterations with final
                                            objective=0.124738275, slow progress with global relative
                                            objective=0.000000977<=1e-06 for 10 non-consecutive
                                            iterations
  854    0.124738275    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324559e-05
Iter    objective   convergence_count   no_progress_count
    0    0.118822978    0   0
   10    0.118682525    0   0
   20    0.118604790    0   0
   30    0.118549386    0   0
   40    0.118505512    0   0
   50    0.118468769    0   0
   60    0.118436918    0   0
   70    0.118408637    0   0
   80    0.118383114    0   0
   90    0.118359797    0   0
  100    0.118338285    0   0
  110    0.118318289    0   0
