lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.10010  0.11046  0.26634  2.01
0.000100000000  0.000074989421  0.09642  0.10749  0.28405  2.30
0.000100000000  0.000056234133  0.09268  0.10444  0.30301  2.66
0.000100000000  0.000042169650  0.08927  0.10190  0.31908  3.15
0.000100000000  0.000031622777  0.08608  0.10001  0.33098  3.79
0.000100000000  0.000023713737  0.08286  0.09888  0.33794  4.70
0.000100000000  0.000017782794  0.07943  0.09857  0.33946  5.90
0.000100000000  0.000013335214  0.07588  0.09912  0.33540  7.45
0.000100000000  0.000010000000  0.07252  0.10039  0.32652  9.16
0.000100000000  0.000007498942  0.06962  0.10217  0.31428  10.89
0.000100000000  0.000005623413  0.06731  0.10419  0.30033  12.42
0.000100000000  0.000004216965  0.06556  0.10624  0.28610  13.77
0.000100000000  0.000003162278  0.06429  0.10817  0.27273  14.87
0.000100000000  0.000002371374  0.06337  0.10987  0.26085  15.72
0.000100000000  0.000001778279  0.06273  0.11132  0.25071  16.39
0.000100000000  0.000001333521  0.06227  0.11251  0.24235  16.92
0.000100000000  0.000001000000  0.06194  0.11347  0.23556  17.32
0.000100000000  0.000000749894  0.06171  0.11423  0.23023  17.62
0.000100000000  0.000000562341  0.06155  0.11482  0.22604  17.85
0.000100000000  0.000000421697  0.06143  0.11528  0.22280  18.02
0.000100000000  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000100000000  0.000000237137  0.06128  0.11590  0.21842  18.24
0.000100000000  0.000000177828  0.06123  0.11610  0.21699  18.31
0.000100000000  0.000000133352  0.06119  0.11626  0.21589  18.36
0.000100000000  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000069519280  0.000100000000  0.09818  0.10922  0.27599  1.67
0.000069519280  0.000074989421  0.09589  0.10743  0.28569  2.50
0.000069519280  0.000056234133  0.09259  0.10469  0.30199  2.77
0.000069519280  0.000042169650  0.08924  0.10208  0.31817  3.18
0.000069519280  0.000031622777  0.08606  0.10013  0.33043  3.79
0.000069519280  0.000023713737  0.08286  0.09895  0.33761  4.68
0.000069519280  0.000017782794  0.07943  0.09861  0.33925  5.89
0.000069519280  0.000013335214  0.07588  0.09914  0.33526  7.44
0.000069519280  0.000010000000  0.07252  0.10041  0.32641  9.16
0.000069519280  0.000007498942  0.06962  0.10218  0.31420  10.89
0.000069519280  0.000005623413  0.06731  0.10420  0.30025  12.41
0.000069519280  0.000004216965  0.06556  0.10625  0.28605  13.76
0.000069519280  0.000003162278  0.06429  0.10817  0.27268  14.86
0.000069519280  0.000002371374  0.06337  0.10987  0.26080  15.72
0.000069519280  0.000001778279  0.06272  0.11132  0.25066  16.39
0.000069519280  0.000001333521  0.06227  0.11251  0.24231  16.92
0.000069519280  0.000001000000  0.06194  0.11347  0.23556  17.32
0.000069519280  0.000000749894  0.06171  0.11423  0.23019  17.62
0.000069519280  0.000000562341  0.06155  0.11482  0.22600  17.84
0.000069519280  0.000000421697  0.06143  0.11528  0.22276  18.02
0.000069519280  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000069519280  0.000000237137  0.06127  0.11590  0.21838  18.24
0.000069519280  0.000000177828  0.06123  0.11610  0.21695  18.31
0.000069519280  0.000000133352  0.06119  0.11626  0.21585  18.36
0.000069519280  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000048329302  0.000100000000  0.09818  0.10922  0.27599  1.67
0.000048329302  0.000074989421  0.09589  0.10743  0.28568  2.50
0.000048329302  0.000056234133  0.09259  0.10469  0.30198  2.77
0.000048329302  0.000042169650  0.08924  0.10209  0.31816  3.18
0.000048329302  0.000031622777  0.08606  0.10013  0.33042  3.79
0.000048329302  0.000023713737  0.08286  0.09895  0.33760  4.68
0.000048329302  0.000017782794  0.07943  0.09861  0.33924  5.89
0.000048329302  0.000013335214  0.07588  0.09914  0.33525  7.44
0.000048329302  0.000010000000  0.07252  0.10041  0.32641  9.16
0.000048329302  0.000007498942  0.06962  0.10218  0.31419  10.88
0.000048329302  0.000005623413  0.06731  0.10420  0.30024  12.41
0.000048329302  0.000004216965  0.06556  0.10625  0.28605  13.76
0.000048329302  0.000003162278  0.06429  0.10817  0.27268  14.86
0.000048329302  0.000002371374  0.06337  0.10987  0.26080  15.72
0.000048329302  0.000001778279  0.06272  0.11132  0.25066  16.39
0.000048329302  0.000001333521  0.06227  0.11251  0.24230  16.92
0.000048329302  0.000001000000  0.06194  0.11347  0.23555  17.32
0.000048329302  0.000000749894  0.06171  0.11423  0.23018  17.62
0.000048329302  0.000000562341  0.06155  0.11482  0.22600  17.84
0.000048329302  0.000000421697  0.06143  0.11528  0.22276  18.02
0.000048329302  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000048329302  0.000000237137  0.06127  0.11590  0.21838  18.24
0.000048329302  0.000000177828  0.06123  0.11610  0.21695  18.31
0.000048329302  0.000000133352  0.06119  0.11626  0.21585  18.36
0.000048329302  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000033598183  0.000100000000  0.09818  0.10922  0.27598  1.67
0.000033598183  0.000074989421  0.09589  0.10743  0.28568  2.50
0.000033598183  0.000056234133  0.09259  0.10469  0.30197  2.77
0.000033598183  0.000042169650  0.08924  0.10209  0.31816  3.18
0.000033598183  0.000031622777  0.08606  0.10013  0.33042  3.79
0.000033598183  0.000023713737  0.08286  0.09895  0.33760  4.68
0.000033598183  0.000017782794  0.07943  0.09861  0.33924  5.89
0.000033598183  0.000013335214  0.07588  0.09914  0.33525  7.44
0.000033598183  0.000010000000  0.07252  0.10041  0.32641  9.16
0.000033598183  0.000007498942  0.06962  0.10218  0.31419  10.89
0.000033598183  0.000005623413  0.06731  0.10420  0.30024  12.41
0.000033598183  0.000004216965  0.06556  0.10625  0.28605  13.76
0.000033598183  0.000003162278  0.06429  0.10817  0.27268  14.86
0.000033598183  0.000002371374  0.06337  0.10987  0.26080  15.72
0.000033598183  0.000001778279  0.06272  0.11132  0.25066  16.39
0.000033598183  0.000001333521  0.06227  0.11251  0.24230  16.92
0.000033598183  0.000001000000  0.06194  0.11347  0.23555  17.32
0.000033598183  0.000000749894  0.06171  0.11423  0.23018  17.62
0.000033598183  0.000000562341  0.06155  0.11482  0.22600  17.84
0.000033598183  0.000000421697  0.06143  0.11528  0.22276  18.02
0.000033598183  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000033598183  0.000000237137  0.06127  0.11590  0.21838  18.24
0.000033598183  0.000000177828  0.06123  0.11610  0.21695  18.31
0.000033598183  0.000000133352  0.06119  0.11626  0.21585  18.36
0.000033598183  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000023357215  0.000100000000  0.09818  0.10922  0.27598  1.67
0.000023357215  0.000074989421  0.09589  0.10743  0.28568  2.50
0.000023357215  0.000056234133  0.09259  0.10469  0.30197  2.77
0.000023357215  0.000042169650  0.08924  0.10209  0.31815  3.18
0.000023357215  0.000031622777  0.08606  0.10013  0.33042  3.79
0.000023357215  0.000023713737  0.08286  0.09895  0.33760  4.68
0.000023357215  0.000017782794  0.07943  0.09861  0.33924  5.89
0.000023357215  0.000013335214  0.07588  0.09914  0.33525  7.44
0.000023357215  0.000010000000  0.07252  0.10041  0.32641  9.16
0.000023357215  0.000007498942  0.06962  0.10218  0.31419  10.89
0.000023357215  0.000005623413  0.06731  0.10420  0.30024  12.41
0.000023357215  0.000004216965  0.06556  0.10625  0.28605  13.76
0.000023357215  0.000003162278  0.06429  0.10817  0.27268  14.86
0.000023357215  0.000002371374  0.06337  0.10987  0.26080  15.72
0.000023357215  0.000001778279  0.06272  0.11132  0.25066  16.39
0.000023357215  0.000001333521  0.06227  0.11251  0.24230  16.92
0.000023357215  0.000001000000  0.06194  0.11347  0.23555  17.32
0.000023357215  0.000000749894  0.06171  0.11423  0.23018  17.62
0.000023357215  0.000000562341  0.06155  0.11482  0.22600  17.84
0.000023357215  0.000000421697  0.06143  0.11528  0.22276  18.02
0.000023357215  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000023357215  0.000000237137  0.06127  0.11590  0.21838  18.24
0.000023357215  0.000000177828  0.06123  0.11610  0.21695  18.31
0.000023357215  0.000000133352  0.06119  0.11626  0.21585  18.36
0.000023357215  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000016237767  0.000100000000  0.09814  0.10919  0.27610  1.67
0.000016237767  0.000074989421  0.09587  0.10740  0.28577  2.50
0.000016237767  0.000056234133  0.09256  0.10467  0.30210  2.77
0.000016237767  0.000042169650  0.08922  0.10206  0.31826  3.17
0.000016237767  0.000031622777  0.08605  0.10012  0.33047  3.79
0.000016237767  0.000023713737  0.08285  0.09894  0.33761  4.68
0.000016237767  0.000017782794  0.07942  0.09861  0.33923  5.89
0.000016237767  0.000013335214  0.07588  0.09915  0.33524  7.44
0.000016237767  0.000010000000  0.07252  0.10041  0.32640  9.16
0.000016237767  0.000007498942  0.06962  0.10218  0.31419  10.89
0.000016237767  0.000005623413  0.06731  0.10420  0.30024  12.41
0.000016237767  0.000004216965  0.06556  0.10625  0.28604  13.76
0.000016237767  0.000003162278  0.06429  0.10817  0.27268  14.86
0.000016237767  0.000002371374  0.06337  0.10987  0.26080  15.72
0.000016237767  0.000001778279  0.06272  0.11132  0.25066  16.39
0.000016237767  0.000001333521  0.06227  0.11251  0.24230  16.92
0.000016237767  0.000001000000  0.06194  0.11347  0.23555  17.32
0.000016237767  0.000000749894  0.06171  0.11423  0.23018  17.62
0.000016237767  0.000000562341  0.06155  0.11482  0.22600  17.84
0.000016237767  0.000000421697  0.06143  0.11528  0.22276  18.02
0.000016237767  0.000000316228  0.06134  0.11563  0.22031  18.15
0.000016237767  0.000000237137  0.06127  0.11590  0.21838  18.24
0.000016237767  0.000000177828  0.06123  0.11610  0.21695  18.31
0.000016237767  0.000000133352  0.06119  0.11626  0.21585  18.36
0.000016237767  0.000000100000  0.06117  0.11637  0.21505  18.40
0.000011288379  0.000100000000  0.09812  0.10916  0.27621  1.66
0.000011288379  0.000074989421  0.09584  0.10738  0.28588  2.50
0.000011288379  0.000056234133  0.09253  0.10464  0.30220  2.77
0.000011288379  0.000042169650  0.08919  0.10204  0.31841  3.17
0.000011288379  0.000031622777  0.08601  0.10008  0.33064  3.79
0.000011288379  0.000023713737  0.08282  0.09891  0.33778  4.68
0.000011288379  0.000017782794  0.07939  0.09858  0.33938  5.89
0.000011288379  0.000013335214  0.07586  0.09912  0.33534  7.44
0.000011288379  0.000010000000  0.07250  0.10040  0.32646  9.16
0.000011288379  0.000007498942  0.06960  0.10217  0.31423  10.89
0.000011288379  0.000005623413  0.06730  0.10419  0.30028  12.42
0.000011288379  0.000004216965  0.06555  0.10624  0.28607  13.76
0.000011288379  0.000003162278  0.06428  0.10816  0.27271  14.86
0.000011288379  0.000002371374  0.06336  0.10987  0.26082  15.72
0.000011288379  0.000001778279  0.06272  0.11131  0.25068  16.39
