lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.15903  0.15621  0.04665  0.07
0.000100000000  0.000074989421  0.15295  0.15141  0.06820  0.11
0.000100000000  0.000056234133  0.14612  0.14598  0.09310  0.16
0.000100000000  0.000042169650  0.13897  0.14026  0.11995  0.23
0.000100000000  0.000031622777  0.13204  0.13457  0.14730  0.33
0.000100000000  0.000023713737  0.12547  0.12901  0.17497  0.46
0.000100000000  0.000017782794  0.11953  0.12383  0.20130  0.62
0.000100000000  0.000013335214  0.11436  0.11928  0.22519  0.83
0.000100000000  0.000010000000  0.10996  0.11538  0.24618  1.10
0.000100000000  0.000007498942  0.10628  0.11214  0.26398  1.40
0.000100000000  0.000005623413  0.10319  0.10948  0.27880  1.77
0.000100000000  0.000004216965  0.10056  0.10728  0.29117  2.17
0.000100000000  0.000003162278  0.09823  0.10539  0.30184  2.63
0.000100000000  0.000002371374  0.09600  0.10367  0.31168  3.15
0.000100000000  0.000001778279  0.09376  0.10209  0.32087  3.74
0.000100000000  0.000001333521  0.09152  0.10069  0.32905  4.44
0.000100000000  0.000001000000  0.08934  0.09957  0.33566  5.28
0.000100000000  0.000000749894  0.08722  0.09875  0.34040  6.25
0.000100000000  0.000000562341  0.08521  0.09824  0.34320  7.27
0.000100000000  0.000000421697  0.08335  0.09801  0.34418  8.27
0.000100000000  0.000000316228  0.08171  0.09802  0.34370  9.14
0.000100000000  0.000000237137  0.08035  0.09819  0.34229  9.89
0.000100000000  0.000000177828  0.07925  0.09843  0.34040  10.49
0.000100000000  0.000000133352  0.07840  0.09870  0.33843  10.96
0.000100000000  0.000000100000  0.07775  0.09895  0.33658  11.33
0.000069519280  0.000100000000  0.15148  0.14920  0.08538  0.08
0.000069519280  0.000074989421  0.15033  0.14838  0.08832  0.11
0.000069519280  0.000056234133  0.14496  0.14432  0.10520  0.17
0.000069519280  0.000042169650  0.13840  0.13924  0.12752  0.24
0.000069519280  0.000031622777  0.13177  0.13394  0.15201  0.33
0.000069519280  0.000023713737  0.12535  0.12862  0.17786  0.47
0.000069519280  0.000017782794  0.11944  0.12355  0.20332  0.63
0.000069519280  0.000013335214  0.11431  0.11909  0.22655  0.84
0.000069519280  0.000010000000  0.10994  0.11525  0.24716  1.11
0.000069519280  0.000007498942  0.10625  0.11203  0.26479  1.41
0.000069519280  0.000005623413  0.10317  0.10940  0.27941  1.78
0.000069519280  0.000004216965  0.10056  0.10722  0.29160  2.18
0.000069519280  0.000003162278  0.09823  0.10534  0.30222  2.64
0.000069519280  0.000002371374  0.09601  0.10365  0.31187  3.16
0.000069519280  0.000001778279  0.09378  0.10207  0.32102  3.74
0.000069519280  0.000001333521  0.09156  0.10070  0.32909  4.44
0.000069519280  0.000001000000  0.08937  0.09957  0.33569  5.29
0.000069519280  0.000000749894  0.08725  0.09875  0.34043  6.25
0.000069519280  0.000000562341  0.08523  0.09824  0.34322  7.27
0.000069519280  0.000000421697  0.08336  0.09802  0.34420  8.27
0.000069519280  0.000000316228  0.08172  0.09803  0.34371  9.14
0.000069519280  0.000000237137  0.08036  0.09819  0.34230  9.89
0.000069519280  0.000000177828  0.07927  0.09843  0.34042  10.49
0.000069519280  0.000000133352  0.07841  0.09870  0.33843  10.96
0.000069519280  0.000000100000  0.07776  0.09896  0.33658  11.33
