lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.09863  0.11015  0.26683  2.43
0.000100000000  0.000074989421  0.09464  0.10711  0.28510  2.81
0.000100000000  0.000056234133  0.09035  0.10389  0.30540  3.31
0.000100000000  0.000042169650  0.08620  0.10128  0.32216  4.04
0.000100000000  0.000031622777  0.08193  0.09944  0.33383  5.13
0.000100000000  0.000023713737  0.07705  0.09861  0.33880  6.75
0.000100000000  0.000017782794  0.07147  0.09897  0.33590  9.08
0.000100000000  0.000013335214  0.06559  0.10051  0.32514  12.06
0.000100000000  0.000010000000  0.05998  0.10308  0.30758  15.39
0.000100000000  0.000007498942  0.05504  0.10644  0.28470  18.79
0.000100000000  0.000005623413  0.05095  0.11033  0.25818  22.03
0.000100000000  0.000004216965  0.04773  0.11447  0.22985  24.88
0.000100000000  0.000003162278  0.04528  0.11862  0.20139  27.31
0.000100000000  0.000002371374  0.04347  0.12255  0.17432  29.29
0.000100000000  0.000001778279  0.04215  0.12610  0.14979  30.87
0.000100000000  0.000001333521  0.04120  0.12918  0.12840  32.10
0.000100000000  0.000001000000  0.04052  0.13178  0.11036  33.05
0.000100000000  0.000000749894  0.04003  0.13391  0.09550  33.78
0.000100000000  0.000000562341  0.03967  0.13562  0.08355  34.32
0.000100000000  0.000000421697  0.03942  0.13697  0.07410  34.71
0.000100000000  0.000000316228  0.03923  0.13803  0.06672  35.01
0.000100000000  0.000000237137  0.03909  0.13885  0.06100  35.22
0.000100000000  0.000000177828  0.03899  0.13948  0.05659  35.38
0.000100000000  0.000000133352  0.03892  0.13995  0.05325  35.49
0.000100000000  0.000000100000  0.03886  0.14032  0.05069  35.57
0.000069519280  0.000100000000  0.09704  0.10917  0.27448  2.04
0.000069519280  0.000074989421  0.09430  0.10713  0.28576  2.97
0.000069519280  0.000056234133  0.09028  0.10407  0.30461  3.35
0.000069519280  0.000042169650  0.08617  0.10140  0.32159  4.05
0.000069519280  0.000031622777  0.08192  0.09951  0.33356  5.12
0.000069519280  0.000023713737  0.07705  0.09865  0.33869  6.75
0.000069519280  0.000017782794  0.07147  0.09899  0.33584  9.06
0.000069519280  0.000013335214  0.06559  0.10052  0.32509  12.05
0.000069519280  0.000010000000  0.05998  0.10309  0.30753  15.39
0.000069519280  0.000007498942  0.05504  0.10645  0.28465  18.79
0.000069519280  0.000005623413  0.05095  0.11034  0.25813  22.03
0.000069519280  0.000004216965  0.04772  0.11448  0.22980  24.88
0.000069519280  0.000003162278  0.04528  0.11863  0.20133  27.31
0.000069519280  0.000002371374  0.04347  0.12255  0.17431  29.29
0.000069519280  0.000001778279  0.04215  0.12610  0.14977  30.87
