Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
    0    0.174357773    0   0
   10    0.132245628    0   0
   20    0.130473283    0   0
   30    0.129537940    0   0
   40    0.128849353    0   0
   50    0.128298007    0   0
   60    0.127841556    0   0
   70    0.127453967    0   0
   80    0.127119438    0   0
   90    0.126827513    0   0
  100    0.126569293    0   0
  110    0.126338732    0   0
  120    0.126130709    0   0
  130    0.125942813    0   0
  140    0.125771775    0   0
  150    0.125615473    0   0
  160    0.125471818    0   0
  170    0.125339233    0   0
  180    0.125216400    0   0
  190    0.125102215    0   0
  200    0.124995803    0   0
  210    0.124896137    0   0
  220    0.124802616    0   0
  230    0.124714884    0   0
  240    0.124632479    0   0
  250    0.124554726    0   0
  260    0.124481295    0   0
  270    0.124411918    0   0
  280    0.124346310    0   0
  290    0.124284172    0   0
  300    0.124225199    0   0
  310    0.124169127    0   0
  320    0.124115695    0   0
  330    0.124064700    0   0
  340    0.124015986    0   0
  350    0.123969333    0   0
  360    0.123924710    0   0
  370    0.123882015    0   0
  380    0.123841082    0   0
  390    0.123801903    0   0
  400    0.123764277    0   0
  410    0.123728107    0   0
  420    0.123693368    0   0
  430    0.123659982    0   0
  440    0.123627820    0   0
  450    0.123596830    0   0
  460    0.123566944    0   0
  470    0.123538105    0   0
  480    0.123510293    0   0
  490    0.123483457    0   0
  500    0.123457530    0   0
  510    0.123432438    0   0
  520    0.123408190    0   0
  530    0.123384741    0   0
  540    0.123362049    0   0
  550    0.123340075    0   0
  560    0.123318797    0   0
  570    0.123298182    0   0
  580    0.123278184    0   0
  590    0.123258812    0   0
  600    0.123240052    0   0
  610    0.123221860    0   0
  620    0.123204207    0   0
  630    0.123187078    0   0
  640    0.123170456    0   0
  650    0.123154322    0   0
  660    0.123138639    0   0
  670    0.123123410    0   0
  680    0.123108633    0   0
  690    0.123094287    0   0
  700    0.123080335    0   0
  710    0.123066751    0   0
  720    0.123053531    0   0
  730    0.123040660    0   0
  740    0.123028145    0   0
  750    0.123015994    0   0
  760    0.123004178    0   0
  770    0.122992660    0   0
  780    0.122981427    0   0
  790    0.122970475    0   0
  800    0.122959798    0   0
  810    0.122949383    0   0
  820    0.122939214    0   0
  830    0.122929285    8   0
Solution converged in 832 iterations with final
                                            objective=0.122927327, slow progress with global relative
                                            objective=0.000000978<=1e-06 for 10 non-consecutive
                                            iterations
  832    0.122927327    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324559e-05
Iter    objective   convergence_count   no_progress_count
    0    0.116850680    0   0
   10    0.116676926    0   0
   20    0.116597214    0   0
   30    0.116541422    0   0
   40    0.116497303    0   0
   50    0.116460243    0   0
   60    0.116428000    0   0
   70    0.116399263    0   0
   80    0.116373204    0   0
   90    0.116349290    0   0
  100    0.116327118    0   0
  110    0.116306393    0   0
  120    0.116286925    0   0
  130    0.116268536    0   0
  140    0.116251096    0   0
  150    0.116234501    0   0
  160    0.116218677    0   0
  170    0.116203560    0   0
  180    0.116189077    0   0
  190    0.116175172    0   0
  200    0.116161815    0   0
  210    0.116148967    0   0
  220    0.116136600    0   0
  230    0.116124680    0   0
  240    0.116113177    0   0
  250    0.116102067    0   0
  260    0.116091336    0   0
  270    0.116080954    0   0
  280    0.116070898    3   0
Solution converged in 287 iterations with final
                                            objective=0.116064050, slow progress with global relative
                                            objective=0.000000969<=1e-06 for 10 non-consecutive
                                            iterations
  287    0.116064050    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.623413251903491e-05
Iter    objective   convergence_count   no_progress_count
    0    0.110706187    0   0
   10    0.110569067    0   0
   20    0.110490351    0   0
   30    0.110430028    0   0
   40    0.110379546    0   0
   50    0.110335447    0   0
   60    0.110295972    0   0
   70    0.110260059    0   0
   80    0.110227008    0   0
   90    0.110196342    0   0
  100    0.110167714    0   0
  110    0.110140844    0   0
  120    0.110115520    0   0
  130    0.110091587    0   0
  140    0.110068906    0   0
  150    0.110047363    0   0
  160    0.110026863    0   0
  170    0.110007326    0   0
  180    0.109988669    0   0
  190    0.109970831    0   0
  200    0.109953773    0   0
  210    0.109937444    0   0
  220    0.109921786    0   0
  230    0.109906756    0   0
  240    0.109892318    0   0
  250    0.109878440    0   0
  260    0.109865095    0   0
  270    0.109852252    0   0
  280    0.109839881    0   0
  290    0.109827951    0   0
  300    0.109816434    0   0
  310    0.109805314    0   0
  320    0.109794577    0   0
  330    0.109784199    0   0
  340    0.109774163    4   0
Solution converged in 346 iterations with final
                                            objective=0.109768302, slow progress with global relative
                                            objective=0.000000969<=1e-06 for 10 non-consecutive
                                            iterations
  346    0.109768302    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 4.216965034285822e-05
Iter    objective   convergence_count   no_progress_count
    0    0.104910894    0   0
   10    0.104806044    0   0
   20    0.104735555    0   0
   30    0.104677772    0   0
   40    0.104627399    0   0
   50    0.104582208    0   0
   60    0.104541003    0   0
   70    0.104503037    0   0
   80    0.104467806    0   0
   90    0.104434941    0   0
  100    0.104404141    0   0
  110    0.104375173    0   0
  120    0.104347852    0   0
  130    0.104322027    0   0
  140    0.104297559    0   0
  150    0.104274332    0   0
  160    0.104252257    0   0
  170    0.104231247    0   0
  180    0.104211230    0   0
  190    0.104192131    0   0
  200    0.104173883    0   0
  210    0.104156434    0   0
  220    0.104139728    0   0
  230    0.104123725    0   0
  240    0.104108382    0   0
  250    0.104093658    0   0
  260    0.104079512    0   0
  270    0.104065917    0   0
  280    0.104052838    0   0
  290    0.104040247    0   0
  300    0.104028119    0   0
  310    0.104016428    0   0
  320    0.104005152    0   0
  330    0.103994277    0   0
  340    0.103983779    0   0
  350    0.103973635    1   0
Solution converged in 359 iterations with final
                                            objective=0.103964800, slow progress with global relative
                                            objective=0.000000968<=1e-06 for 10 non-consecutive
                                            iterations
  359    0.103964800    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 3.1622776601683795e-05
Iter    objective   convergence_count   no_progress_count
    0    0.099521358    0   0
   10    0.099436621    0   0
   20    0.099371927    0   0
   30    0.099315860    0   0
   40    0.099265344    0   0
   50    0.099219036    0   0
   60    0.099176172    0   0
   70    0.099136240    0   0
   80    0.099098864    0   0
   90    0.099063755    0   0
  100    0.099030679    0   0
  110    0.098999438    0   0
  120    0.098969872    0   0
  130    0.098941840    0   0
  140    0.098915220    0   0
  150    0.098889902    0   0
  160    0.098865783    0   0
  170    0.098842780    0   0
  180    0.098820812    0   0
  190    0.098799808    0   0
  200    0.098779702    0   0
  210    0.098760437    0   0
  220    0.098741964    0   0
  230    0.098724239    0   0
  240    0.098707216    0   0
  250    0.098690855    0   0
  260    0.098675113    0   0
  270    0.098659958    0   0
  280    0.098645357    0   0
  290    0.098631277    0   0
  300    0.098617693    0   0
  310    0.098604581    0   0
  320    0.098591918    0   0
  330    0.098579678    0   0
  340    0.098567842    0   0
  350    0.098556395    0   0
  360    0.098545320    0   0
  370    0.098534594    0   0
  380    0.098524204    0   0
  390    0.098514134    3   0
Solution converged in 397 iterations with final
                                            objective=0.098507269, slow progress with global relative
                                            objective=0.000000972<=1e-06 for 10 non-consecutive
                                            iterations
  397    0.098507269    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 2.3713737056616554e-05
Iter    objective   convergence_count   no_progress_count
    0    0.094359497    0   0
   10    0.094287819    0   0
   20    0.094227432    0   0
   30    0.094172657    0   0
   40    0.094121895    0   0
   50    0.094074397    0   0
   60    0.094029706    0   0
   70    0.093987493    0   0
   80    0.093947504    0   0
   90    0.093909534    0   0
  100    0.093873411    0   0
  110    0.093838984    0   0
  120    0.093806118    0   0
  130    0.093774700    0   0
  140    0.093744629    0   0
  150    0.093715812    0   0
  160    0.093688166    0   0
  170    0.093661617    0   0
  180    0.093636098    0   0
  190    0.093611545    0   0
  200    0.093587905    0   0
  210    0.093565128    0   0
  220    0.093543166    0   0
  230    0.093521974    0   0
  240    0.093501511    0   0
  250    0.093481740    0   0
  260    0.093462626    0   0
  270    0.093444136    0   0
  280    0.093426242    0   0
  290    0.093408916    0   0
  300    0.093392132    0   0
  310    0.093375861    0   0
  320    0.093360086    0   0
  330    0.093344781    0   0
  340    0.093329931    0   0
  350    0.093315517    0   0
  360    0.093301519    0   0
  370    0.093287921    0   0
  380    0.093274705    0   0
  390    0.093261857    0   0
  400    0.093249363    0   0
  410    0.093237213    0   0
  420    0.093225394    0   0
  430    0.093213893    0   0
  440    0.093202698    0   0
  450    0.093191800    0   0
  460    0.093181188    0   0
  470    0.093170852    0   0
  480    0.093160782    2   0
Solution converged in 488 iterations with final
