Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
    0    0.174357773    0   0
   10    0.132836155    0   0
   20    0.130784131    0   0
   30    0.129823780    0   0
   40    0.129138636    0   0
   50    0.128592510    0   0
   60    0.128136539    0   0
   70    0.127749416    0   0
   80    0.127414838    0   0
   90    0.127121117    0   0
  100    0.126861652    0   0
  110    0.126630024    0   0
  120    0.126421516    0   0
  130    0.126232574    0   0
  140    0.126060295    0   0
  150    0.125902869    0   0
  160    0.125758154    0   0
  170    0.125624842    0   0
  180    0.125501249    0   0
  190    0.125386269    0   0
  200    0.125279089    0   0
  210    0.125178825    0   0
  220    0.125084716    0   0
  230    0.124996341    0   0
  240    0.124913143    0   0
  250    0.124834832    0   0
  260    0.124761084    0   0
  270    0.124691232    0   0
  280    0.124624956    0   0
  290    0.124561909    0   0
  300    0.124502048    0   0
  310    0.124445169    0   0
  320    0.124391033    0   0
  330    0.124339428    0   0
  340    0.124290189    0   0
  350    0.124243112    0   0
  360    0.124198095    0   0
  370    0.124155032    0   0
  380    0.124113741    0   0
  390    0.124074189    0   0
  400    0.124036214    0   0
  410    0.123999697    0   0
  420    0.123964579    0   0
  430    0.123930812    0   0
  440    0.123898334    0   0
  450    0.123867089    0   0
  460    0.123837015    0   0
  470    0.123808031    0   0
  480    0.123780069    0   0
  490    0.123753027    0   0
  500    0.123726903    0   0
  510    0.123701632    0   0
  520    0.123677220    0   0
  530    0.123653604    0   0
  540    0.123630740    0   0
  550    0.123608620    0   0
  560    0.123587215    0   0
  570    0.123566462    0   0
  580    0.123546342    0   0
  590    0.123526822    0   0
  600    0.123507898    0   0
  610    0.123489539    0   0
  620    0.123471717    0   0
  630    0.123454425    0   0
  640    0.123437648    0   0
  650    0.123421345    0   0
  660    0.123405516    0   0
  670    0.123390131    0   0
  680    0.123375190    0   0
  690    0.123360687    0   0
  700    0.123346612    0   0
  710    0.123332939    0   0
  720    0.123319637    0   0
  730    0.123306699    0   0
  740    0.123294109    0   0
  750    0.123281845    0   0
  760    0.123269906    0   0
  770    0.123258289    0   0
  780    0.123246960    0   0
  790    0.123235919    0   0
  800    0.123225165    0   0
  810    0.123214690    0   0
  820    0.123204476    0   0
  830    0.123194520    7   0
Solution converged in 833 iterations with final
                                            objective=0.123191581, slow progress with global relative
                                            objective=0.000000977<=1e-06 for 10 non-consecutive
                                            iterations
  833    0.123191581    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324559e-05
Iter    objective   convergence_count   no_progress_count
    0    0.117142519    0   0
   10    0.116973894    0   0
   20    0.116894511    0   0
   30    0.116838874    0   0
   40    0.116794885    0   0
   50    0.116757936    0   0
   60    0.116725811    0   0
   70    0.116697197    0   0
   80    0.116671281    0   0
   90    0.116647499    0   0
  100    0.116625459    0   0
  110    0.116604873    0   0
  120    0.116585524    0   0
  130    0.116567256    0   0
  140    0.116549937    0   0
  150    0.116533471    0   0
  160    0.116517766    0   0
  170    0.116502743    0   0
  180    0.116488351    0   0
  190    0.116474537    0   0
  200    0.116461259    0   0
  210    0.116448488    0   0
  220    0.116436196    0   0
  230    0.116424340    0   0
  240    0.116412901    0   0
  250    0.116401848    0   0
  260    0.116391158    0   0
  270    0.116380817    0   0
  280    0.116370806    5   0
Solution converged in 285 iterations with final
                                            objective=0.116365917, slow progress with global relative
                                            objective=0.000000972<=1e-06 for 10 non-consecutive
                                            iterations
  285    0.116365917    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.623413251903491e-05
Iter    objective   convergence_count   no_progress_count
    0    0.111046188    0   0
   10    0.110913859    0   0
   20    0.110836739    0   0
   30    0.110777601    0   0
   40    0.110728123    0   0
   50    0.110684906    0   0
   60    0.110646219    0   0
   70    0.110611011    0   0
   80    0.110578616    0   0
   90    0.110548552    0   0
  100    0.110520462    0   0
  110    0.110494085    0   0
  120    0.110469224    0   0
  130    0.110445712    0   0
  140    0.110423412    0   0
  150    0.110402211    0   0
  160    0.110382013    0   0
  170    0.110362744    0   0
  180    0.110344328    0   0
  190    0.110326709    0   0
  200    0.110309841    0   0
  210    0.110293679    0   0
  220    0.110278185    0   0
  230    0.110263304    0   0
  240    0.110249001    0   0
  250    0.110235239    0   0
  260    0.110221987    0   0
  270    0.110209218    0   0
  280    0.110196904    0   0
  290    0.110185027    0   0
  300    0.110173561    0   0
  310    0.110162495    0   0
  320    0.110151810    0   0
  330    0.110141486    0   0
  340    0.110131508    6   0
Solution converged in 344 iterations with final
                                            objective=0.110127610, slow progress with global relative
                                            objective=0.000000970<=1e-06 for 10 non-consecutive
                                            iterations
  344    0.110127610    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 4.216965034285822e-05
Iter    objective   convergence_count   no_progress_count
    0    0.105330662    0   0
   10    0.105230227    0   0
   20    0.105162205    0   0
   30    0.105106438    0   0
   40    0.105057832    0   0
   50    0.105014231    0   0
   60    0.104974446    0   0
   70    0.104937754    0   0
   80    0.104903668    0   0
   90    0.104871824    0   0
  100    0.104841950    0   0
  110    0.104813827    0   0
  120    0.104787271    0   0
  130    0.104762145    0   0
  140    0.104738324    0   0
  150    0.104715693    0   0
  160    0.104694167    0   0
  170    0.104673654    0   0
  180    0.104654081    0   0
  190    0.104635391    0   0
  200    0.104617524    0   0
  210    0.104600429    0   0
  220    0.104584052    0   0
  230    0.104568354    0   0
  240    0.104553300    0   0
  250    0.104538855    0   0
  260    0.104524979    0   0
  270    0.104511635    0   0
  280    0.104498800    0   0
  290    0.104486443    0   0
  300    0.104474539    0   0
  310    0.104463063    0   0
  320    0.104451995    0   0
  330    0.104441321    0   0
  340    0.104431019    0   0
  350    0.104421067    6   0
Solution converged in 354 iterations with final
                                            objective=0.104417182, slow progress with global relative
                                            objective=0.000000966<=1e-06 for 10 non-consecutive
                                            iterations
  354    0.104417182    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 3.1622776601683795e-05
Iter    objective   convergence_count   no_progress_count
    0    0.100064043    0   0
   10    0.099983573    0   0
   20    0.099921942    0   0
   30    0.099868556    0   0
   40    0.099820466    0   0
   50    0.099776371    0   0
   60    0.099735518    0   0
   70    0.099697418    0   0
   80    0.099661717    0   0
   90    0.099628144    0   0
  100    0.099596487    0   0
  110    0.099566568    0   0
  120    0.099538230    0   0
