lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.15481  0.15278  0.06306  0.05
0.000100000000  0.000074989421  0.14876  0.14799  0.08496  0.08
0.000100000000  0.000056234133  0.14178  0.14232  0.11181  0.12
0.000100000000  0.000042169650  0.13457  0.13637  0.14057  0.17
0.000100000000  0.000031622777  0.12785  0.13062  0.16907  0.23
0.000100000000  0.000023713737  0.12153  0.12508  0.19731  0.33
0.000100000000  0.000017782794  0.11578  0.11991  0.22395  0.43
0.000100000000  0.000013335214  0.11091  0.11554  0.24708  0.57
0.000100000000  0.000010000000  0.10672  0.11190  0.26686  0.74
0.000100000000  0.000007498942  0.10308  0.10884  0.28369  0.92
0.000100000000  0.000005623413  0.09994  0.10634  0.29748  1.15
0.000100000000  0.000004216965  0.09707  0.10427  0.30895  1.42
0.000100000000  0.000003162278  0.09428  0.10246  0.31904  1.79
0.000100000000  0.000002371374  0.09141  0.10088  0.32775  2.28
0.000100000000  0.000001778279  0.08836  0.09957  0.33493  2.97
0.000100000000  0.000001333521  0.08498  0.09859  0.34013  3.93
0.000100000000  0.000001000000  0.08114  0.09813  0.34223  5.26
0.000100000000  0.000000749894  0.07687  0.09835  0.33993  7.04
0.000100000000  0.000000562341  0.07241  0.09939  0.33245  9.19
0.000100000000  0.000000421697  0.06814  0.10119  0.31995  11.52
0.000100000000  0.000000316228  0.06440  0.10356  0.30361  13.83
0.000100000000  0.000000237137  0.06135  0.10627  0.28503  15.93
0.000100000000  0.000000177828  0.05899  0.10908  0.26572  17.78
0.000100000000  0.000000133352  0.05724  0.11180  0.24699  19.29
0.000100000000  0.000000100000  0.05596  0.11430  0.22976  20.51
0.000069519280  0.000100000000  0.15359  0.15156  0.07115  0.05
0.000069519280  0.000074989421  0.14864  0.14777  0.08745  0.08
0.000069519280  0.000056234133  0.14175  0.14225  0.11286  0.12
0.000069519280  0.000042169650  0.13456  0.13634  0.14101  0.17
0.000069519280  0.000031622777  0.12784  0.13062  0.16923  0.23
0.000069519280  0.000023713737  0.12152  0.12508  0.19737  0.33
0.000069519280  0.000017782794  0.11578  0.11991  0.22397  0.43
0.000069519280  0.000013335214  0.11091  0.11554  0.24709  0.57
0.000069519280  0.000010000000  0.10672  0.11190  0.26684  0.74
0.000069519280  0.000007498942  0.10308  0.10884  0.28368  0.92
0.000069519280  0.000005623413  0.09993  0.10634  0.29748  1.15
0.000069519280  0.000004216965  0.09707  0.10427  0.30893  1.42
0.000069519280  0.000003162278  0.09428  0.10246  0.31903  1.79
0.000069519280  0.000002371374  0.09141  0.10088  0.32774  2.28
0.000069519280  0.000001778279  0.08836  0.09957  0.33493  2.97
0.000069519280  0.000001333521  0.08498  0.09860  0.34012  3.93
0.000069519280  0.000001000000  0.08114  0.09813  0.34222  5.26
0.000069519280  0.000000749894  0.07687  0.09835  0.33992  7.04
0.000069519280  0.000000562341  0.07241  0.09939  0.33245  9.19
0.000069519280  0.000000421697  0.06814  0.10119  0.31994  11.51
0.000069519280  0.000000316228  0.06440  0.10356  0.30360  13.83
0.000069519280  0.000000237137  0.06135  0.10627  0.28503  15.93
0.000069519280  0.000000177828  0.05899  0.10908  0.26572  17.78
0.000069519280  0.000000133352  0.05724  0.11180  0.24698  19.29
