lambda_A  lambda_rho  MSE  MSE-val  R^2-val  Sparsity
0.000100000000  0.000100000000  0.09943  0.11027  0.26668  2.18
0.000100000000  0.000074989421  0.09564  0.10726  0.28465  2.50
0.000100000000  0.000056234133  0.09168  0.10412  0.30422  2.92
0.000100000000  0.000042169650  0.08799  0.10153  0.32071  3.50
0.000100000000  0.000031622777  0.08440  0.09965  0.33271  4.31
0.000100000000  0.000023713737  0.08056  0.09864  0.33902  5.46
0.000100000000  0.000017782794  0.07631  0.09862  0.33869  7.07
0.000100000000  0.000013335214  0.07186  0.09961  0.33167  9.12
0.000100000000  0.000010000000  0.06763  0.10145  0.31906  11.46
0.000100000000  0.000007498942  0.06394  0.10388  0.30244  13.78
0.000100000000  0.000005623413  0.06098  0.10663  0.28353  15.91
0.000100000000  0.000004216965  0.05871  0.10946  0.26408  17.76
0.000100000000  0.000003162278  0.05703  0.11217  0.24533  19.28
0.000100000000  0.000002371374  0.05582  0.11462  0.22836  20.51
0.000100000000  0.000001778279  0.05496  0.11675  0.21358  21.48
0.000100000000  0.000001333521  0.05435  0.11853  0.20122  22.24
0.000100000000  0.000001000000  0.05391  0.11998  0.19110  22.79
0.000100000000  0.000000749894  0.05360  0.12114  0.18299  23.20
0.000100000000  0.000000562341  0.05338  0.12205  0.17660  23.51
0.000100000000  0.000000421697  0.05322  0.12276  0.17159  23.75
0.000100000000  0.000000316228  0.05310  0.12330  0.16777  23.92
0.000100000000  0.000000237137  0.05302  0.12373  0.16481  24.07
0.000100000000  0.000000177828  0.05295  0.12405  0.16256  24.16
0.000100000000  0.000000133352  0.05291  0.12429  0.16086  24.23
0.000100000000  0.000000100000  0.05287  0.12448  0.15955  24.29
0.000069519280  0.000100000000  0.09762  0.10913  0.27551  1.82
0.000069519280  0.000074989421  0.09518  0.10724  0.28577  2.68
0.000069519280  0.000056234133  0.09160  0.10436  0.30315  2.99
0.000069519280  0.000042169650  0.08796  0.10170  0.31985  3.51
0.000069519280  0.000031622777  0.08438  0.09976  0.33218  4.31
0.000069519280  0.000023713737  0.08056  0.09870  0.33869  5.46
0.000069519280  0.000017782794  0.07631  0.09866  0.33848  7.05
0.000069519280  0.000013335214  0.07186  0.09964  0.33151  9.12
0.000069519280  0.000010000000  0.06763  0.10147  0.31893  11.46
0.000069519280  0.000007498942  0.06395  0.10389  0.30235  13.78
0.000069519280  0.000005623413  0.06098  0.10664  0.28347  15.90
0.000069519280  0.000004216965  0.05871  0.10947  0.26401  17.76
0.000069519280  0.000003162278  0.05703  0.11218  0.24529  19.28
0.000069519280  0.000002371374  0.05582  0.11463  0.22829  20.51
0.000069519280  0.000001778279  0.05496  0.11675  0.21355  21.48
0.000069519280  0.000001333521  0.05434  0.11853  0.20118  22.23
0.000069519280  0.000001000000  0.05391  0.11998  0.19106  22.78
0.000069519280  0.000000749894  0.05360  0.12114  0.18296  23.20
0.000069519280  0.000000562341  0.05338  0.12205  0.17657  23.51
0.000069519280  0.000000421697  0.05322  0.12277  0.17156  23.75
0.000069519280  0.000000316228  0.05310  0.12331  0.16774  23.92
