Warm start either not set or it is yet to warm up.
Initializing using arguments from init or as a default zero matrix
Starting optimization for lambda_A: 0.0001 lambda_rho: 0.0001
Iter    objective   convergence_count   no_progress_count
  130    0.100189517    0   0
  140    0.100165195    0   0
  150    0.100142031    0   0
  160    0.100119939    0   0
  170    0.100098841    0   0
  180    0.100078678    0   0
  190    0.100059385    0   0
  200    0.100040907    0   0
  210    0.100023194    0   0
  220    0.100006201    0   0
  230    0.099989884    0   0
  240    0.099974201    0   0
  250    0.099959123    0   0
  260    0.099944619    0   0
  270    0.099930653    0   0
  280    0.099917198    0   0
  290    0.099904225    0   0
  300    0.099891716    0   0
  310    0.099879643    0   0
  320    0.099867990    0   0
  330    0.099856731    0   0
  340    0.099845848    0   0
  350    0.099835325    0   0
  360    0.099825145    0   0
Solution converged in 370 iterations with final
                                            objective=0.099815289, slow progress with global relative
                                            objective=0.000000971<=1e-06 for 10 non-consecutive
                                            iterations
  370    0.099815289    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 2.3713737056616554e-05
Iter    objective   convergence_count   no_progress_count
    0    0.095958705    0   0
   10    0.095895933    0   0
   20    0.095843108    0   0
   30    0.095795338    0   0
   40    0.095751115    0   0
   50    0.095709735    0   0
   60    0.095670779    0   0
   70    0.095633958    0   0
   80    0.095599054    0   0
   90    0.095565885    0   0
  100    0.095534309    0   0
  110    0.095504196    0   0
  120    0.095475438    0   0
  130    0.095447935    0   0
  140    0.095421602    0   0
  150    0.095396361    0   0
  160    0.095372139    0   0
  170    0.095348878    0   0
  180    0.095326515    0   0
  190    0.095305002    0   0
  200    0.095284290    0   0
  210    0.095264331    0   0
  220    0.095245086    0   0
  230    0.095226515    0   0
  240    0.095208585    0   0
  250    0.095191264    0   0
  260    0.095174522    0   0
  270    0.095158327    0   0
  280    0.095142656    0   0
  290    0.095127483    0   0
  300    0.095112786    0   0
  310    0.095098544    0   0
  320    0.095084740    0   0
  330    0.095071353    0   0
  340    0.095058367    0   0
  350    0.095045764    0   0
  360    0.095033530    0   0
  370    0.095021650    0   0
  380    0.095010111    0   0
  390    0.094998898    0   0
  400    0.094987998    0   0
  410    0.094977398    0   0
  420    0.094967090    0   0
  430    0.094957061    4   0
Solution converged in 436 iterations with final
                                            objective=0.094951172, slow progress with global relative
                                            objective=0.000000975<=1e-06 for 10 non-consecutive
                                            iterations
  436    0.094951172    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1.778279410038923e-05
Iter    objective   convergence_count   no_progress_count
    0    0.091351371    0   0
   10    0.091297697    0   0
   20    0.091249500    0   0
   30    0.091204427    0   0
   40    0.091161742    0   0
   50    0.091121086    0   0
   60    0.091082235    0   0
   70    0.091045024    0   0
   80    0.091009321    0   0
   90    0.090975018    0   0
  100    0.090942018    0   0
  110    0.090910238    0   0
  120    0.090879605    0   0
  130    0.090850050    0   0
  140    0.090821514    0   0
  150    0.090793941    0   0
  160    0.090767281    0   0
  170    0.090741486    0   0
  180    0.090716514    0   0
  190    0.090692325    0   0
  200    0.090668883    0   0
  210    0.090646155    0   0
  220    0.090624106    0   0
  230    0.090602709    0   0
  240    0.090581936    0   0
  250    0.090561759    0   0
  260    0.090542157    0   0
  270    0.090523107    0   0
  280    0.090504586    0   0
  290    0.090486574    0   0
  300    0.090469050    0   0
  310    0.090451998    0   0
  320    0.090435399    0   0
  330    0.090419238    0   0
  340    0.090403500    0   0
  350    0.090388168    0   0
  360    0.090373229    0   0
  370    0.090358670    0   0
  380    0.090344478    0   0
  390    0.090330641    0   0
  400    0.090317147    0   0
  410    0.090303985    0   0
  420    0.090291145    0   0
  430    0.090278615    0   0
  440    0.090266387    0   0
  450    0.090254450    0   0
  460    0.090242798    0   0
  470    0.090231421    0   0
  480    0.090220311    0   0
  490    0.090209458    0   0
  500    0.090198856    0   0
  510    0.090188497    0   0
  520    0.090178375    0   0
Solution converged in 530 iterations with final
                                            objective=0.090168483, slow progress with global relative
                                            objective=0.000000979<=1e-06 for 10 non-consecutive
                                            iterations
  530    0.090168483    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1.333521432163324e-05
Iter    objective   convergence_count   no_progress_count
    0    0.086700693    0   0
   10    0.086653887    0   0
   20    0.086610083    0   0
   30    0.086568209    0   0
   40    0.086527938    0   0
   50    0.086489099    0   0
   60    0.086451577    0   0
   70    0.086415284    0   0
   80    0.086380147    0   0
   90    0.086346100    0   0
  100    0.086313088    0   0
  110    0.086281059    0   0
  120    0.086249966    0   0
  130    0.086219767    0   0
  140    0.086190421    0   0
  150    0.086161893    0   0
  160    0.086134149    0   0
  170    0.086107157    0   0
  180    0.086080886    0   0
  190    0.086055310    0   0
  200    0.086030402    0   0
  210    0.086006139    0   0
  220    0.085982496    0   0
  230    0.085959450    0   0
  240    0.085936982    0   0
  250    0.085915071    0   0
  260    0.085893699    0   0
  270    0.085872849    0   0
  280    0.085852501    0   0
  290    0.085832641    0   0
  300    0.085813253    0   0
  310    0.085794322    0   0
  320    0.085775833    0   0
  330    0.085757774    0   0
  340    0.085740130    0   0
  350    0.085722891    0   0
  360    0.085706044    0   0
  370    0.085689576    0   0
  380    0.085673476    0   0
  390    0.085657735    0   0
  400    0.085642343    0   0
  410    0.085627290    0   0
  420    0.085612565    0   0
  430    0.085598160    0   0
  440    0.085584066    0   0
  450    0.085570274    0   0
  460    0.085556777    0   0
  470    0.085543566    0   0
  480    0.085530634    0   0
  490    0.085517974    0   0
  500    0.085505580    0   0
  510    0.085493443    0   0
  520    0.085481557    0   0
  530    0.085469915    0   0
  540    0.085458512    0   0
  550    0.085447341    0   0
  560    0.085436397    0   0
  570    0.085425673    0   0
  580    0.085415163    0   0
  590    0.085404864    0   0
  600    0.085394769    0   0
Solution converged in 610 iterations with final
                                            objective=0.085384873, slow progress with global relative
                                            objective=0.000000981<=1e-06 for 10 non-consecutive
                                            iterations
  610    0.085384873    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 1e-05
Iter    objective   convergence_count   no_progress_count
    0    0.082001598    0   0
   10    0.081960890    0   0
   20    0.081921920    0   0
   30    0.081884205    0   0
   40    0.081847600    0   0
   50    0.081812025    0   0
   60    0.081777421    0   0
   70    0.081743738    0   0
   80    0.081710934    0   0
   90    0.081678973    0   0
  100    0.081647819    0   0
  110    0.081617441    0   0
  120    0.081587808    0   0
  130    0.081558894    0   0
  140    0.081530671    0   0
  150    0.081503117    0   0
  160    0.081476209    0   0
  170    0.081449923    0   0
  180    0.081424241    0   0
  190    0.081399143    0   0
  200    0.081374609    0   0
  210    0.081350624    0   0
  220    0.081327169    0   0
  230    0.081304230    0   0
  240    0.081281790    0   0
  250    0.081259835    0   0
  260    0.081238351    0   0
  270    0.081217325    0   0
  280    0.081196743    0   0
  290    0.081176593    0   0
  300    0.081156864    0   0
  310    0.081137543    0   0
  320    0.081118620    0   0
  330    0.081100084    0   0
  340    0.081081925    0   0
  350    0.081064133    0   0
  360    0.081046699    0   0
  370    0.081029614    0   0
  380    0.081012867    0   0
  390    0.080996451    0   0
  400    0.080980358    0   0
  410    0.080964580    0   0
  420    0.080949108    0   0
  430    0.080933935    0   0
  440    0.080919054    0   0
  450    0.080904457    0   0
  460    0.080890138    0   0
  470    0.080876090    0   0
  480    0.080862307    0   0
  490    0.080848782    0   0
  500    0.080835509    0   0
  510    0.080822482    0   0
  520    0.080809696    0   0
  530    0.080797145    0   0
  540    0.080784822    0   0
  550    0.080772725    0   0
  560    0.080760846    0   0
  570    0.080749183    0   0
  580    0.080737728    0   0
  590    0.080726478    0   0
  600    0.080715428    0   0
  610    0.080704574    0   0
  620    0.080693912    0   0
  630    0.080683438    0   0
  640    0.080673146    0   0
  650    0.080663034    0   0
  660    0.080653097    9   0
Solution converged in 661 iterations with final
                                            objective=0.080652113, slow progress with global relative
                                            objective=0.000000984<=1e-06 for 10 non-consecutive
                                            iterations
  661    0.080652113    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 7.498942093324558e-06
Iter    objective   convergence_count   no_progress_count
    0    0.077393826    0   0
   10    0.077359030    0   0
   20    0.077325312    0   0
   30    0.077292449    0   0
   40    0.077260378    0   0
   50    0.077229056    0   0
   60    0.077198451    0   0
   70    0.077168535    0   0
   80    0.077139283    0   0
   90    0.077110671    0   0
  100    0.077082677    0   0
  110    0.077055282    0   0
  120    0.077028465    0   0
  130    0.077002209    0   0
  140    0.076976496    0   0
  150    0.076951312    0   0
  160    0.076926640    0   0
  170    0.076902465    0   0
  180    0.076878773    0   0
  190    0.076855552    0   0
  200    0.076832788    0   0
  210    0.076810469    0   0
  220    0.076788583    0   0
  230    0.076767118    0   0
  240    0.076746063    0   0
  250    0.076725409    0   0
  260    0.076705145    0   0
  270    0.076685260    0   0
  280    0.076665747    0   0
  290    0.076646594    0   0
  300    0.076627795    0   0
  310    0.076609339    0   0
  320    0.076591219    0   0
  330    0.076573427    0   0
  340    0.076555956    0   0
  350    0.076538796    0   0
  360    0.076521943    0   0
  370    0.076505388    0   0
  380    0.076489125    0   0
  390    0.076473147    0   0
  400    0.076457447    0   0
  410    0.076442020    0   0
  420    0.076426859    0   0
  430    0.076411959    0   0
  440    0.076397314    0   0
  450    0.076382917    0   0
  460    0.076368765    0   0
  470    0.076354851    0   0
  480    0.076341170    0   0
  490    0.076327717    0   0
  500    0.076314488    0   0
  510    0.076301478    0   0
  520    0.076288683    0   0
  530    0.076276097    0   0
  540    0.076263717    0   0
  550    0.076251538    0   0
  560    0.076239557    0   0
  570    0.076227769    0   0
  580    0.076216170    0   0
  590    0.076204756    0   0
  600    0.076193524    0   0
  610    0.076182470    0   0
  620    0.076171591    0   0
  630    0.076160883    0   0
  640    0.076150342    0   0
  650    0.076139966    0   0
  660    0.076129751    0   0
  670    0.076119694    1   0
Solution converged in 679 iterations with final
                                            objective=0.076110776, slow progress with global relative
                                            objective=0.000000985<=1e-06 for 10 non-consecutive
                                            iterations
  679    0.076110776    10   0
Starting optimization for lambda_A: 0.0001 lambda_rho: 5.623413251903491e-06
Iter    objective   convergence_count   no_progress_count
    0    0.073067280    0   0
   10    0.073038010    0   0
   20    0.073009452    0   0
   30    0.072981496    0   0
   40    0.072954111    0   0
   50    0.072927274    0   0
   60    0.072900967    0   0
   70    0.072875171    0   0
   80    0.072849872    0   0
   90    0.072825054    0   0
  100    0.072800703    0   0
  110    0.072776806    0   0
  120    0.072753350    0   0
  130    0.072730324    0   0
  140    0.072707717    0   0
  150    0.072685516    0   0
  160    0.072663712    0   0
  170    0.072642295    0   0
  180    0.072621256    0   0
  190    0.072600584    0   0
  200    0.072580272    0   0
  210    0.072560310    0   0
  220    0.072540691    0   0
  230    0.072521406    0   0
